Age,Education,Math_Skill,Logic_Skill,Experience,Interest,Problem_Solving,Difficulty,Recommended_Language
19,Beginner,1,9,0,App,92,Hard,Python
24,Beginner,1,10,3,Competitive,87,Hard,Python
25,Intermediate,9,6,3,AI,82,Hard,Python
25,Intermediate,3,1,0,AI,61,Medium,Python
19,Advanced,2,7,2,App,40,Hard,Java
20,Intermediate,3,8,3,Competitive,88,Hard,Python
22,Advanced,4,1,2,Web,56,Easy,JavaScript
19,Beginner,8,3,2,Web,40,Hard,JavaScript
18,Advanced,3,2,2,Competitive,67,Hard,Python
18,Beginner,5,8,0,AI,93,Medium,Python
18,Intermediate,4,10,0,Web,40,Easy,JavaScript
24,Beginner,3,8,2,App,57,Hard,Java
18,Advanced,7,3,2,Web,71,Easy,JavaScript
23,Intermediate,8,8,0,AI,76,Hard,Python
20,Intermediate,1,6,2,AI,71,Hard,Python
22,Intermediate,10,10,1,Competitive,91,Easy,Python
19,Advanced,9,3,2,Competitive,50,Medium,C++
25,Intermediate,4,10,3,App,88,Medium,Python
19,Advanced,6,3,2,Competitive,83,Easy,Python
18,Intermediate,9,7,1,AI,57,Medium,Python
22,Beginner,6,3,1,App,75,Hard,Python
20,Advanced,5,2,1,Web,86,Easy,Python
19,Intermediate,2,1,1,App,47,Hard,Java
21,Intermediate,10,5,0,AI,94,Medium,Python
25,Beginner,9,3,3,AI,97,Easy,Python
23,Beginner,5,10,1,App,51,Easy,Java
20,Beginner,8,8,1,Web,45,Medium,JavaScript
25,Advanced,7,6,0,Web,94,Hard,Python
23,Intermediate,8,5,3,Competitive,91,Easy,Python
18,Advanced,9,9,3,AI,42,Hard,Python
20,Beginner,1,7,1,Web,77,Medium,Python
24,Intermediate,10,9,2,Web,92,Easy,Python
25,Beginner,10,8,3,Competitive,92,Hard,Python
20,Beginner,5,4,0,Competitive,65,Hard,C++
20,Beginner,9,4,1,AI,88,Easy,Python
22,Advanced,5,7,3,AI,88,Easy,Python
23,Beginner,3,6,1,App,100,Easy,Python
19,Intermediate,5,7,0,Competitive,93,Hard,Python
19,Advanced,5,4,3,App,63,Medium,Java
19,Beginner,7,9,3,Competitive,48,Easy,C++
23,Intermediate,5,8,3,Competitive,92,Hard,Python
21,Intermediate,2,5,2,AI,79,Easy,Python
20,Intermediate,9,5,3,AI,56,Hard,Python
23,Intermediate,7,3,0,App,47,Easy,Java
20,Intermediate,6,5,2,Competitive,92,Easy,Python
21,Intermediate,8,9,1,Competitive,83,Easy,Python
20,Intermediate,10,5,3,App,54,Medium,Java
23,Advanced,2,4,1,Web,66,Hard,Python
19,Intermediate,4,10,0,AI,83,Easy,Python
22,Beginner,5,9,1,Web,70,Medium,Python
25,Beginner,7,8,3,App,90,Easy,Python
24,Beginner,2,10,0,App,90,Easy,Python
18,Beginner,5,9,2,App,56,Hard,Java
22,Advanced,9,2,1,App,60,Hard,Java
20,Advanced,6,9,0,AI,95,Easy,Python
21,Advanced,2,8,1,Web,54,Hard,JavaScript
24,Beginner,4,9,1,App,82,Easy,Python
20,Advanced,6,5,0,AI,46,Medium,Python
18,Intermediate,1,9,1,AI,98,Easy,Python
24,Advanced,1,10,0,Competitive,96,Hard,Python
18,Intermediate,5,7,0,Web,61,Medium,Python
23,Intermediate,2,9,0,App,78,Medium,Python
20,Intermediate,4,7,2,AI,72,Medium,Python
19,Advanced,5,2,3,Competitive,88,Medium,Python
19,Beginner,1,8,2,Competitive,67,Easy,Python
21,Intermediate,2,10,1,Competitive,66,Medium,Python
24,Intermediate,6,9,2,App,50,Medium,Java
24,Beginner,10,6,3,App,63,Hard,Java
20,Advanced,8,1,2,Competitive,41,Medium,C++
22,Intermediate,10,4,1,Web,40,Easy,JavaScript
20,Beginner,9,1,3,Competitive,70,Medium,C++
18,Advanced,8,5,3,Competitive,98,Hard,Python
21,Intermediate,1,6,3,AI,59,Easy,Python
21,Intermediate,3,9,1,Web,99,Medium,Python
25,Beginner,3,10,3,AI,49,Medium,Python
22,Advanced,10,10,3,Competitive,56,Easy,C++
22,Advanced,1,10,1,Web,92,Medium,Python
22,Intermediate,3,7,0,App,76,Hard,Python
25,Advanced,9,5,0,App,73,Easy,Python
18,Intermediate,1,1,2,App,97,Easy,Python
23,Advanced,6,7,3,Web,63,Hard,JavaScript
23,Intermediate,7,4,3,App,85,Easy,Java
25,Intermediate,8,3,2,Competitive,79,Easy,Python
20,Advanced,8,9,1,Web,73,Medium,Python
23,Advanced,9,5,3,Competitive,69,Hard,C++
22,Advanced,1,6,3,Web,73,Hard,JavaScript
25,Advanced,9,2,3,AI,71,Hard,Python
21,Advanced,2,10,1,Competitive,59,Hard,C++
18,Beginner,1,1,0,App,59,Medium,Python
22,Beginner,8,3,2,Web,75,Medium,JavaScript
24,Beginner,2,4,2,App,90,Easy,Python
24,Beginner,6,10,1,AI,88,Hard,Python
19,Beginner,9,1,1,Web,40,Hard,JavaScript
19,Advanced,6,9,3,Competitive,76,Hard,Python
21,Intermediate,2,5,1,AI,86,Hard,Python
22,Intermediate,2,10,2,Web,89,Hard,Python
25,Beginner,9,3,0,App,92,Easy,Python
25,Advanced,10,1,2,Web,91,Easy,Python
24,Beginner,10,2,1,Web,100,Hard,Python
25,Intermediate,5,5,0,Web,100,Easy,Python
18,Intermediate,5,6,2,Web,65,Easy,JavaScript
18,Intermediate,4,3,0,Competitive,73,Easy,Python
19,Beginner,9,5,1,Competitive,68,Medium,C++
19,Intermediate,4,1,0,Web,100,Medium,Python
21,Intermediate,3,3,0,AI,63,Medium,Python
22,Beginner,5,4,2,AI,57,Easy,Python
25,Advanced,3,3,1,Competitive,48,Hard,C++
19,Intermediate,2,7,3,AI,91,Hard,Python
20,Beginner,2,8,1,Web,61,Medium,JavaScript
21,Advanced,9,4,3,Competitive,70,Hard,C++
20,Beginner,6,3,0,AI,63,Easy,Python
25,Advanced,2,3,2,AI,57,Medium,Python
22,Intermediate,3,7,2,App,71,Hard,Java
18,Intermediate,3,2,0,Competitive,61,Hard,C++
25,Beginner,7,3,0,AI,59,Hard,Python
23,Intermediate,10,8,3,Competitive,61,Hard,C++
22,Advanced,9,2,1,Web,42,Hard,JavaScript
18,Beginner,1,1,0,Web,65,Easy,Python
18,Beginner,2,5,2,Competitive,68,Easy,Python
23,Advanced,5,10,3,App,99,Easy,Python
18,Beginner,1,8,0,Competitive,93,Medium,Python
23,Advanced,3,1,2,Web,58,Medium,JavaScript
21,Intermediate,6,8,1,AI,72,Easy,Python
18,Advanced,3,10,3,AI,49,Hard,Python
21,Advanced,10,10,2,Competitive,78,Easy,Python
24,Intermediate,7,3,0,Web,80,Easy,Python
23,Intermediate,1,2,2,App,40,Hard,Java
22,Intermediate,4,1,1,App,70,Hard,Python
24,Beginner,3,4,2,Competitive,65,Medium,C++
18,Advanced,2,3,1,Competitive,74,Medium,Python
23,Beginner,6,1,3,AI,95,Medium,Python
24,Advanced,4,4,0,App,44,Easy,Java
22,Beginner,6,6,2,AI,90,Medium,Python
21,Intermediate,2,5,0,App,50,Medium,Java
22,Advanced,7,1,2,App,62,Hard,Java
23,Beginner,7,1,1,Competitive,77,Hard,Python
22,Advanced,4,3,2,AI,82,Hard,Python
23,Beginner,1,6,2,Competitive,59,Medium,C++
21,Intermediate,2,5,0,AI,100,Hard,Python
22,Intermediate,4,7,3,Competitive,55,Medium,C++
23,Intermediate,4,9,2,AI,53,Easy,Python
20,Beginner,1,3,3,Web,71,Easy,JavaScript
22,Beginner,1,1,3,AI,68,Hard,Python
18,Advanced,4,1,1,AI,87,Hard,Python
19,Beginner,2,7,3,Competitive,88,Easy,Python
19,Beginner,9,8,2,AI,70,Medium,Python
20,Intermediate,6,2,0,AI,91,Medium,Python
24,Intermediate,6,7,1,App,86,Hard,Python
23,Advanced,5,10,1,Competitive,54,Easy,C++
19,Intermediate,10,10,2,AI,56,Easy,Python
18,Beginner,4,2,3,AI,60,Easy,Python
18,Beginner,2,10,3,App,40,Medium,Java
23,Advanced,5,2,1,Web,76,Hard,Python
18,Advanced,10,3,3,Web,73,Hard,JavaScript
19,Intermediate,5,8,2,Competitive,44,Medium,C++
24,Advanced,1,3,3,App,54,Hard,Java
19,Advanced,3,1,3,Web,48,Hard,JavaScript
21,Intermediate,8,3,2,Competitive,77,Medium,Python
18,Intermediate,7,10,0,Competitive,47,Hard,C++
19,Beginner,8,6,0,AI,93,Medium,Python
21,Intermediate,6,10,0,Competitive,67,Easy,C++
22,Beginner,3,3,1,App,80,Easy,Python
25,Advanced,2,8,3,Web,75,Medium,JavaScript
22,Intermediate,5,7,3,AI,83,Medium,Python
22,Intermediate,10,10,2,App,89,Easy,Python
25,Intermediate,5,7,3,AI,45,Medium,Python
25,Beginner,6,5,1,App,69,Medium,Python
22,Intermediate,5,6,0,AI,85,Easy,Python
20,Intermediate,10,10,2,App,79,Easy,Python
20,Beginner,3,1,0,Competitive,91,Medium,Python
22,Advanced,4,6,3,AI,53,Easy,Python
25,Intermediate,10,7,3,Competitive,76,Medium,Python
24,Intermediate,9,7,0,App,97,Easy,Python
22,Beginner,4,1,2,AI,69,Easy,Python
25,Beginner,3,8,1,AI,64,Hard,Python
20,Intermediate,6,8,2,Competitive,81,Medium,Python
24,Beginner,3,2,0,AI,83,Medium,Python
20,Intermediate,4,4,1,App,95,Medium,Python
20,Beginner,10,3,3,AI,91,Medium,Python
22,Advanced,7,6,0,Competitive,47,Hard,C++
22,Advanced,8,4,0,AI,49,Medium,Python
20,Intermediate,7,7,0,AI,51,Medium,Python
24,Advanced,7,8,2,Competitive,54,Medium,C++
24,Beginner,4,8,3,Web,46,Easy,JavaScript
18,Intermediate,8,4,0,Competitive,52,Easy,C++
20,Beginner,7,3,3,App,74,Hard,Java
23,Beginner,7,3,0,Competitive,46,Medium,C++
21,Advanced,10,7,1,AI,80,Hard,Python
24,Beginner,4,7,3,Web,63,Medium,JavaScript
25,Beginner,4,6,2,Web,75,Hard,Python
22,Advanced,4,5,0,Web,88,Hard,Python
24,Intermediate,2,2,3,App,47,Medium,Java
23,Intermediate,4,8,0,Competitive,99,Easy,Python
22,Advanced,8,1,0,AI,87,Hard,Python
19,Intermediate,6,9,1,Web,92,Medium,Python
19,Intermediate,9,8,3,AI,59,Medium,Python
24,Intermediate,1,2,2,App,67,Easy,Java
24,Advanced,6,7,3,AI,67,Medium,Python
20,Intermediate,8,4,3,Competitive,63,Medium,C++
25,Intermediate,8,1,3,Competitive,76,Hard,Python
24,Beginner,9,1,2,Web,49,Easy,JavaScript
24,Beginner,3,7,1,Competitive,54,Easy,C++
21,Advanced,3,10,2,Competitive,98,Medium,Python
21,Advanced,9,6,1,AI,89,Hard,Python
19,Intermediate,2,7,3,App,86,Medium,Python
19,Beginner,3,4,0,Web,40,Easy,JavaScript
24,Intermediate,6,2,3,Competitive,89,Easy,Python
21,Beginner,4,2,2,App,50,Medium,Java
24,Beginner,5,2,1,AI,40,Medium,Python
24,Advanced,8,3,3,Competitive,92,Medium,Python
19,Beginner,4,6,2,Web,66,Medium,JavaScript
20,Advanced,8,8,1,AI,64,Medium,Python
18,Beginner,5,8,2,AI,42,Hard,Python
25,Intermediate,9,10,1,App,83,Hard,Python
20,Intermediate,1,4,3,App,62,Hard,Java
21,Beginner,3,6,0,App,79,Easy,Python
23,Advanced,3,3,2,AI,59,Hard,Python
22,Beginner,10,7,2,AI,51,Hard,Python
18,Intermediate,4,9,3,Competitive,84,Medium,Python
20,Advanced,2,9,2,Competitive,70,Medium,Python
25,Beginner,5,10,2,Web,40,Medium,JavaScript
22,Advanced,4,3,1,Web,62,Easy,JavaScript
23,Beginner,5,6,2,AI,89,Hard,Python
21,Beginner,7,1,0,AI,85,Hard,Python
20,Advanced,3,10,2,Competitive,48,Easy,C++
25,Advanced,3,1,3,Competitive,72,Hard,Python
19,Beginner,10,8,0,App,40,Medium,Java
19,Beginner,2,2,0,Competitive,61,Hard,C++
20,Beginner,9,2,0,App,99,Hard,Python
22,Beginner,3,5,2,App,91,Medium,Python
19,Intermediate,5,7,1,App,91,Easy,Python
21,Intermediate,3,1,2,AI,67,Easy,Python
23,Beginner,10,3,1,AI,45,Hard,Python
20,Beginner,9,7,2,AI,98,Hard,Python
18,Advanced,1,5,3,Web,40,Hard,JavaScript
25,Intermediate,9,2,2,Competitive,68,Hard,C++
22,Advanced,4,9,0,Web,86,Easy,Python
23,Beginner,9,4,0,App,46,Hard,Java
21,Beginner,7,10,2,App,92,Easy,Python
23,Intermediate,7,1,0,Web,98,Hard,Python
18,Advanced,3,4,0,Competitive,97,Medium,Python
24,Beginner,7,7,2,AI,85,Hard,Python
19,Intermediate,4,2,2,App,86,Medium,Python
25,Intermediate,8,8,1,Web,91,Easy,Python
18,Advanced,4,4,2,App,51,Hard,Java
20,Beginner,5,2,2,Web,76,Hard,JavaScript
25,Intermediate,10,2,0,Competitive,89,Hard,Python
25,Advanced,9,5,2,AI,67,Easy,Python
22,Beginner,5,10,2,AI,53,Easy,Python
25,Intermediate,4,10,3,Competitive,96,Medium,Python
19,Beginner,2,7,0,AI,57,Medium,Python
24,Advanced,7,5,1,AI,50,Hard,Python
20,Beginner,8,3,0,AI,71,Hard,Python
24,Beginner,5,2,2,Competitive,86,Hard,Python
20,Advanced,1,10,0,App,75,Medium,Python
19,Advanced,4,8,1,AI,80,Easy,Python
20,Intermediate,7,8,0,App,97,Medium,Python
19,Advanced,3,5,0,Web,46,Medium,JavaScript
20,Beginner,8,9,3,Competitive,84,Medium,Python
23,Intermediate,1,8,3,Competitive,76,Hard,Python
20,Beginner,4,3,1,App,64,Easy,Java
21,Beginner,5,5,1,Competitive,56,Easy,C++
18,Advanced,2,4,3,AI,88,Medium,Python
20,Advanced,4,5,2,App,54,Medium,Java
23,Advanced,7,1,2,App,54,Medium,Java
25,Beginner,6,5,1,Web,55,Hard,JavaScript
20,Intermediate,1,8,2,Competitive,99,Medium,Python
19,Intermediate,3,6,1,Web,66,Easy,Python
18,Intermediate,7,8,1,AI,97,Hard,Python
19,Intermediate,8,4,1,App,65,Easy,Java
24,Advanced,8,4,3,App,84,Hard,Java
22,Beginner,9,6,2,AI,55,Hard,Python
19,Advanced,9,1,3,Competitive,61,Easy,C++
24,Intermediate,3,2,1,Web,40,Hard,JavaScript
21,Intermediate,8,9,0,Competitive,79,Easy,Python
24,Beginner,8,4,1,AI,80,Medium,Python
20,Advanced,4,9,0,App,66,Medium,Python
21,Advanced,3,1,1,Competitive,64,Hard,C++
25,Intermediate,8,10,1,Competitive,89,Hard,Python
21,Intermediate,8,10,1,App,56,Medium,Java
22,Advanced,6,9,3,AI,98,Medium,Python
19,Advanced,2,2,3,Web,91,Hard,Python
24,Advanced,7,5,2,App,74,Hard,Java
22,Intermediate,2,8,2,AI,74,Medium,Python
25,Advanced,2,3,0,AI,44,Hard,Python
21,Beginner,1,2,0,Web,81,Hard,Python
21,Intermediate,10,8,1,Web,85,Hard,Python
21,Advanced,2,8,0,Competitive,80,Hard,Python
20,Intermediate,8,4,3,AI,91,Easy,Python
24,Beginner,5,3,0,Competitive,76,Medium,Python
24,Beginner,7,3,0,Web,65,Hard,Python
21,Beginner,2,4,2,Web,97,Easy,Python
19,Intermediate,9,7,3,Competitive,95,Medium,Python
22,Beginner,4,5,2,AI,45,Easy,Python
25,Intermediate,1,3,1,AI,48,Hard,Python
18,Intermediate,3,2,1,Web,69,Easy,Python
18,Advanced,2,1,2,AI,72,Hard,Python
19,Intermediate,7,10,3,Competitive,40,Medium,C++
19,Beginner,4,6,3,AI,57,Easy,Python
22,Beginner,4,2,3,Web,96,Hard,Python
